;Review
208;A sophisticated ‘proper’ restaurant where everything is done with expertise and style. For grown-ups who crave an atmosphere in which you can both hear yourself think and speak, it’s a rare delight.The fish-biased menu is traditional in content and cooking style and uses extremely good ingredients.My partner had lobster cocktail which contained a good half of supremely fresh lobster meat and sensibly allowed for the Marie-rose sauce to be served separately. I had four spamming fresh langoustines which I asked to come in shell but which they will also serve peeled.We both had Dover soles which were sublime. Yes, £60 a piece, but at least 600g each. Perfectly cooked a la meunière they were as good as I ever remember eating.We finished with yet another perfect rendition of crème brûlée and a Pimms jelly.Service was discreet and attentive throughout.With a bottle of Bollinger and a bottle of an interesting Bergerac, we absolutely loved my birthday treat and thoroughly appreciated the complete professionalism of the entire set up.The only reason for 4/5 for value is we did think the mark ups on the wine list were a little extreme even for a Mayfair restaurant!Most importantly, we intend to go back frequently.
209;Delicious seafood and excellent service. Pricey but perfect for a special occasion and the set menu is an excellent deal. Particularly recommend sitting in booths which are very cosy and is a rare restaurant where you can’t hear the next table’s conversation and can hear everyone on your table. Bathroom also very clean and delightfully decorated.
210;Wilton's never fails to impress. Traditional and excellent standards of food and service. Quite one of my favourite restaurants anywhere.
211;Loved it, had Lobster Bisque and prawn cocktail to start, both had Beef Wellington for main, all was great apart from stringy runner beans, staff were great, a lovely place, would visit again
212;Wilton's is the last high class restaurant left in central London.  Good old fashioned luxury and mercifully free of children!
213;The first courses and puddings were wonderful: the main courses were disappointing.  The lamb and sauce lacked flavour and the Risotto  vegetables were undercooked.  The ambience and staff were so friendly and welcoming they ensured that I will be back soon..
214;A certainty beyond age and time, Mayfair and St. James at their best.
215;Wilton's remains true to its traditions. Best Dover sole in London. Impeccable service.
216;A very buttoned up, traditional experience with excellent service and old time-y feel. Unfortunately the food just doesn't live up to the vibe or the price.
217;Our second visit, a very special place.  We opted for fish:  prawn cocktails to start, followed by a lobster (Newburg)  and a sea bream.  We did squeeze in deserts too.... don't know how really. Beautifully presented, tasted as good as it looked. All washed down with a very sensibly priced bottle of house Chablis.  The restaurant was packed but all of the staff are on the ball, nothing is too much trouble.  All runs like a well oiled machine.  Wonderful !!
218;Excellent in every respect. The food, welcome, ambience and service were all impeccable. This Jermyn Street institution maintains timeless standards in the modern age.
